"subID","keyboard_condition","trial_type","trial_number","correct_num","response_num","response_rt","correct_space","response_space","probe_space","correct_width","response_width","probe_width","adjustment_duration","stim_length","exp_version","number_deviation","width_deviation","spacing_deviation","number_deviation_ratio","width_deviation_ration","spacing_deviation_ratio","response_stim_length","compression_rate","actual_pooled_width","response_pooled_width","pooled_width_deviation","actual_width_density","response_width_density","width_density_deviation","actual_edge_to_edge_spacing","response_edge_to_edge_spacing","edge_to_edge_spacing_deviation","width_deviation_relative","spacing_deviation_relative","corrected_width_deviation","corrected_width_deviation_relative","spacing"
"701","left_right_width","initial",20,5,5,0.934039399959147,0.9,0.9,1,0.4,0.35,0.4,3.26318880007602,4,"exp1",0,-0.05,0,0,0.875,1,3.95,0.9875,2,1.75,-0.25,0.5,0.443037974683544,-0.0569620253164557,0.5,0.55,0.05,-0.125,0,NA,NA,"middle"
"701","left_right_width","initial",21,3,3,1.02187839988619,1.1,0.85,0.8,0.4,0.4,0.15,3.25164790009148,2.6,"exp1",0,-5.55111512312578e-17,-0.25,0,1,0.772727272727273,2.1,0.807692307692308,1.2,1.2,-2.22044604925031e-16,0.461538461538462,0.571428571428571,0.10989010989011,0.7,0.45,-0.25,-1.38777878078145e-16,-0.227272727272727,NA,NA,"large"
"701","left_right_width","match",22,5,5,0.965011700056493,0.8625,0.7,0.5,0.25,0.15,0.4,9.58161030011252,3.7,"exp1",0,-0.0999999999999999,-0.1625,0,0.6,0.811594202898551,2.95,0.797297297297297,1.25,0.75,-0.5,0.337837837837838,0.254237288135593,-0.0836005497022445,0.6125,0.55,-0.0625000000000002,-0.4,-0.188405797101449,NA,NA,"middle"
"701","left_right_width","match",23,5,5,1.4959569000639,0.825,0.75,0.9,0.25,0.15,0.15,2.02724290010519,3.55,"exp1",0,-0.1,-0.075,0,0.6,0.909090909090909,3.15,0.887323943661972,1.25,0.75,-0.5,0.352112676056338,0.238095238095238,-0.1140174379611,0.575,0.6,0.025,-0.4,-0.0909090909090909,NA,NA,"middle"
"701","left_right_width","initial",24,4,4,1.00917960004881,1.1,0.7,0.7,0.25,0.15,0.25,5.68765110010281,3.55,"exp1",0,-0.1,-0.4,0,0.6,0.636363636363636,2.25,0.633802816901408,1,0.6,-0.4,0.28169014084507,0.266666666666667,-0.0150234741784036,0.85,0.55,-0.3,-0.4,-0.363636363636364,NA,NA,"large"
"701","left_right_width","initial",25,4,3,1.02505189995281,0.9,0.9,1,0.55,0.45,0.4,2.61494200001471,3.25,"exp1",-1,-0.1,0,-0.25,0.818181818181818,1,2.25,0.692307692307692,2.2,1.35,-0.85,0.676923076923077,0.6,-0.0769230769230769,0.35,0.45,0.1,-0.181818181818182,0,NA,NA,"middle"
"701","left_right_width","match",26,3,3,0.869634800124913,2.2,1.85,0.7,0.55,0.6,0.45,6.51389810000546,4.95,"exp1",0,0.05,-0.35,0,1.09090909090909,0.840909090909091,4.3,0.868686868686869,1.65,1.8,0.15,0.333333333333333,0.418604651162791,0.0852713178294573,1.65,1.25,-0.4,0.090909090909091,-0.159090909090909,NA,NA,"large"
"701","left_right_width","initial",27,5,4,0.966400699922815,0.7,0.7,1,0.4,0.45,0.35,3.26331319985911,3.2,"exp1",-1,0.0499999999999999,0,-0.2,1.125,1,2.55,0.796875,2,1.8,-0.2,0.625,0.705882352941176,0.0808823529411764,0.3,0.25,-0.0499999999999999,0.125,0,NA,NA,"small"
"701","left_right_width","initial",28,5,4,1.02214820007794,0.7,0.8,0.7,0.25,0.15,0.35,3.07579739997163,3.05,"exp1",-1,-0.1,0.1,-0.2,0.6,1.14285714285714,2.55,0.836065573770492,1.25,0.6,-0.65,0.409836065573771,0.235294117647059,-0.174541947926712,0.45,0.65,0.2,-0.4,0.142857142857143,NA,NA,"small"
"701","left_right_width","match",29,4,4,0.965402999892831,0.466666666666667,0.4,1.2,0.4,0.3,0.35,4.17463369993493,1.8,"exp1",0,-0.1,-0.0666666666666667,0,0.75,0.857142857142857,1.5,0.833333333333333,1.6,1.2,-0.4,0.888888888888889,0.8,-0.0888888888888891,0.0666666666666667,0.1,0.0333333333333334,-0.25,-0.142857142857143,NA,NA,"small"
"701","left_right_width","match",30,4,4,1.12468179990537,0.466666666666667,0.6,0.5,0.25,0.3,0.4,2.93431239994243,1.65,"exp1",0,0.05,0.133333333333333,0,1.2,1.28571428571429,2.1,1.27272727272727,1,1.2,0.2,0.606060606060606,0.571428571428572,-0.0346320346320345,0.216666666666667,0.3,0.0833333333333333,0.2,0.285714285714286,NA,NA,"small"
"701","left_right_width","match",31,3,3,0.818984700134024,1.475,1.05,0.6,0.25,0.2,0.2,2.30438999994658,3.2,"exp1",0,-0.05,-0.425,0,0.8,0.711864406779661,2.3,0.71875,0.75,0.6,-0.15,0.234375,0.260869565217391,0.0264945652173913,1.225,0.85,-0.375,-0.2,-0.288135593220339,NA,NA,"large"
"701","left_right_width","initial",32,4,3,1.77133720018901,0.9,0.75,0.4,0.4,0.25,0.3,2.30706499982625,3.1,"exp1",-1,-0.15,-0.15,-0.25,0.625,0.833333333333333,1.75,0.564516129032258,1.6,0.75,-0.85,0.516129032258065,0.428571428571429,-0.087557603686636,0.5,0.5,0,-0.375,-0.166666666666667,NA,NA,"middle"
"701","left_right_width","match",33,5,5,0.992000099970028,0.675,0.7,0.6,0.25,0.2,0.3,2.1510636000894,2.95,"exp1",0,-0.05,0.0249999999999999,0,0.8,1.03703703703704,3,1.01694915254237,1.25,1,-0.25,0.423728813559322,0.333333333333333,-0.0903954802259887,0.425,0.5,0.0749999999999999,-0.2,0.0370370370370369,NA,NA,"small"
"701","left_right_width","match",34,5,4,1.02653499995358,0.525,0.8,1.2,0.25,0.15,0.45,3.41645239992067,2.35,"exp1",-1,-0.0999999999999999,0.275,-0.2,0.6,1.52380952380952,2.55,1.08510638297872,1.25,0.6,-0.65,0.531914893617021,0.235294117647059,-0.296620775969962,0.275,0.65,0.375,-0.4,0.523809523809524,NA,NA,"small"
"701","left_right_width","initial",35,4,4,0.7931807001587,1.1,1,0.6,0.4,0.3,0.3,1.83251119987108,3.7,"exp1",0,-0.1,-0.1,0,0.75,0.909090909090909,3.3,0.891891891891892,1.6,1.2,-0.4,0.432432432432432,0.363636363636364,-0.0687960687960688,0.7,0.7,-1.11022302462516e-16,-0.25,-0.090909090909091,NA,NA,"large"
"701","left_right_width","initial",36,3,3,1.05246150004677,0.7,0.45,0.3,0.4,0.3,0.25,4.24118590005673,1.8,"exp1",0,-0.1,-0.25,0,0.75,0.642857142857143,1.2,0.666666666666667,1.2,0.9,-0.3,0.666666666666667,0.75,0.0833333333333333,0.3,0.15,-0.15,-0.25,-0.357142857142857,NA,NA,"small"
"701","left_right_width","match",37,3,3,0.744486699812114,1.8,1.6,0.8,0.55,0.6,0.35,5.0499452999793,4.15,"exp1",0,0.0499999999999999,-0.2,0,1.09090909090909,0.888888888888889,3.8,0.91566265060241,1.65,1.8,0.15,0.397590361445783,0.473684210526316,0.0760938490805326,1.25,1,-0.25,0.0909090909090908,-0.111111111111111,NA,NA,"large"
"701","left_right_width","initial",38,4,4,0.897189800161868,0.7,0.7,0.9,0.4,0.4,0.35,2.44446909986436,2.5,"exp1",0,-5.55111512312578e-17,0,0,1,1,2.5,1,1.6,1.6,-2.22044604925031e-16,0.64,0.64,0,0.3,0.3,5.55111512312578e-17,-1.38777878078145e-16,0,NA,NA,"small"
"701","left_right_width","initial",39,5,4,0.935677699977532,0.7,0.7,1.3,0.55,0.5,0.35,5.18498869985342,3.35,"exp1",-1,-0.0500000000000001,0,-0.2,0.909090909090909,1,2.6,0.776119402985075,2.75,2,-0.75,0.82089552238806,0.769230769230769,-0.0516647531572905,0.15,0.2,0.0500000000000001,-0.0909090909090911,0,NA,NA,"small"
"701","left_right_width","initial",40,3,3,0.840993300080299,0.7,0.4,0.4,0.55,0.35,0.1,2.85934889991768,1.95,"exp1",0,-0.2,-0.3,0,0.636363636363636,0.571428571428572,1.15,0.58974358974359,1.65,1.05,-0.6,0.846153846153846,0.91304347826087,0.0668896321070233,0.15,0.05,-0.0999999999999999,-0.363636363636364,-0.428571428571428,NA,NA,"small"
"701","left_right_width","match",41,3,3,0.85443550022319,2.2,1.7,0.7,0.4,0.35,0.35,5.2833175000269,4.8,"exp1",0,-0.05,-0.5,0,0.875,0.772727272727273,3.75,0.78125,1.2,1.05,-0.15,0.25,0.28,0.0299999999999999,1.8,1.35,-0.45,-0.125,-0.227272727272727,NA,NA,"large"
"701","left_right_width","initial",42,3,3,0.835482400143519,0.9,0.95,1,0.25,0.15,0.25,2.09652279992588,2.05,"exp1",0,-0.1,0.0499999999999999,0,0.6,1.05555555555556,2.05,1,0.75,0.45,-0.3,0.365853658536585,0.219512195121951,-0.146341463414634,0.65,0.8,0.15,-0.4,0.0555555555555555,NA,NA,"middle"
"701","left_right_width","match",43,4,3,2.73400710010901,0.783333333333333,0.75,0.4,0.25,0.25,0.3,2.84713270002976,2.6,"exp1",-1,0,-0.0333333333333333,-0.25,1,0.957446808510638,1.75,0.673076923076923,1,0.75,-0.25,0.384615384615385,0.428571428571429,0.043956043956044,0.533333333333333,0.5,-0.0333333333333333,0,-0.0425531914893617,NA,NA,"small"
